customer_id,customer_name,home_city,avg_transaction_amount,account_open_date
CUST00104,Cheyenne Horton,Tamarin,1255.28,2024-01-01
CUST00105,Matthew Smith,Flacq,1717.62,2025-04-06
CUST00106,Ashley Coleman,Tamarin,1346.81,2022-06-08
CUST00107,Kelly Williams,Flacq,3468.42,2022-10-17
CUST00108,Joyce Solis,Beau Bassin,2089.53,2024-11-07
CUST00109,Linda Dodson DVM,Rose Hill,629.54,2024-07-31
CUST00110,Kathy Rivas,Quatre Bornes,504.95,2024-04-06
CUST00111,Natasha Wells,Mahebourg,1896.28,2022-11-04
CUST00112,Mark Cannon,Grand Baie,1115.6,2024-02-18
CUST00113,Denise Jones,Curepipe,2215.05,2022-12-22
CUST00114,Francisco Fernandez,Port Louis,1884.24,2022-04-01
CUST00115,Michael Mccarthy,Curepipe,1259.52,2021-11-19
CUST00116,Joshua Perry,Quatre Bornes,636.05,2022-08-02
CUST00117,Taylor Silva,Quatre Bornes,300.96,2024-12-27
CUST00118,Pamela James,Flacq,1566.9,2021-08-06
CUST00119,Paul Castaneda,Tamarin,416.2,2026-04-05
CUST00120,Paul Payne,Curepipe,612.96,2024-07-15
CUST00121,Daniel Graham,Flacq,1498.49,2021-09-17
CUST00122,Michael Powell,Flacq,1394.36,2022-05-19
CUST00123,Cameron Dean,Tamarin,466.98,2021-09-13
CUST00124,Justin Johnson,Grand Baie,2793.86,2024-09-24
CUST00125,Joel Williams,Mahebourg,2744.69,2023-06-08
CUST00126,Gabriel Juarez,Vacoas,1939.13,2023-06-08
CUST00127,Sandra King,Mahebourg,1937.48,2021-12-21
CUST00128,Joshua Cooke,Port Louis,1939.15,2023-04-16
CUST00129,Rachael Pearson,Curepipe,2581.25,2025-04-12
CUST00130,Christina Smith,Mahebourg,2125.58,2022-04-26
CUST00131,Michael Elliott,Vacoas,683.84,2022-08-22
CUST00132,Pamela Jackson,Beau Bassin,1103.4,2024-07-22
CUST00133,Ashley Weiss,Curepipe,5437.23,2026-04-25
CUST00134,Alexander Collins,Vacoas,185.19,2024-11-25
CUST00135,Jennifer Espinoza,Flacq,902.9,2021-12-10
CUST00136,Lori Garcia,Quatre Bornes,2803.85,2025-05-15
CUST00137,Lindsay Martinez,Grand Baie,722.61,2026-05-29
CUST00138,Hannah Patterson,Port Louis,2165.58,2023-05-23
CUST00139,Gloria Atkinson,Vacoas,1380.96,2025-08-12
CUST00140,Tyler Reid,Mahebourg,767.24,2025-08-24
CUST00141,Jessica Gross,Quatre Bornes,144.81,2026-04-26
CUST00142,Robert Medina,Mahebourg,1535.32,2023-12-12
CUST00143,Nicholas Adams,Curepipe,670.89,2025-10-04
CUST00144,Angelica Keith,Vacoas,1218.31,2022-10-08
CUST00145,Leonard Gray,Mahebourg,1925.84,2021-09-16
CUST00146,Catherine Lewis,Tamarin,2442.25,2025-06-29
CUST00147,Spencer Haynes,Rose Hill,900.51,2022-12-05
CUST00148,Travis Miller,Quatre Bornes,766.0,2025-02-09
CUST00149,Peter Vaughn DDS,Beau Bassin,409.04,2023-12-26
CUST00150,Anna Walker,Quatre Bornes,2523.7,2024-12-21
CUST00151,Kevin Kennedy,Mahebourg,4945.38,2024-03-07
CUST00152,Patrick Rivera,Mahebourg,2709.18,2025-01-10
CUST00153,David Martinez,Port Louis,3116.48,2022-07-08
CUST00154,Joshua Gill,Tamarin,727.87,2022-06-24
CUST00155,John Hardy,Beau Bassin,1846.24,2026-05-16
CUST00156,Diane Garcia,Grand Baie,2304.06,2022-07-10
CUST00157,Christopher Smith,Port Louis,530.51,2024-03-12
CUST00158,William Tran,Curepipe,3829.72,2024-12-31
CUST00159,Sean Henry,Beau Bassin,334.57,2025-11-11
CUST00160,Julie Alexander,Vacoas,3444.53,2022-06-23
CUST00161,Todd Woods,Rose Hill,332.23,2025-08-12
CUST00162,Benjamin Soto,Port Louis,554.83,2021-10-31
CUST00163,Justin Torres,Rose Hill,1869.8,2026-06-17
CUST00164,Phillip Obrien,Tamarin,1406.73,2025-06-16
CUST00165,Joseph Hayes,Curepipe,973.66,2023-09-30
CUST00166,Wanda Torres,Curepipe,3733.72,2024-08-15
CUST00167,Natalie Meza,Grand Baie,419.98,2022-08-04
CUST00168,Matthew Moore,Curepipe,1182.63,2022-06-04
CUST00169,Aaron Hayes,Mahebourg,2037.92,2024-06-28
CUST00170,David Mann,Quatre Bornes,1645.1,2025-01-10
CUST00171,Michael Bradshaw,Quatre Bornes,788.07,2025-06-11
CUST00172,Mary Peck,Grand Baie,812.57,2023-08-29
CUST00173,Maria Kerr,Mahebourg,2417.36,2025-08-20
CUST00174,Christopher Parker,Quatre Bornes,2494.95,2025-04-02
CUST00175,Donna Martinez,Vacoas,1676.56,2024-12-15
CUST00176,Terri Mason,Mahebourg,647.34,2023-12-31
CUST00177,Andrew Reynolds,Tamarin,834.43,2023-02-26
CUST00178,Brandon Hayden,Flacq,1311.86,2025-09-06
CUST00179,Tiffany Key,Rose Hill,1458.22,2024-11-16
CUST00180,Andrew Avila,Mahebourg,1981.95,2023-11-19
CUST00181,Sydney White,Rose Hill,1135.22,2024-06-12
CUST00182,Katherine Davis,Vacoas,2380.41,2023-04-13
CUST00183,Michael Hodge,Flacq,2362.36,2023-03-11
CUST00184,Donna Landry,Beau Bassin,3187.16,2025-07-27
CUST00185,Jordan Edwards,Grand Baie,1355.14,2023-02-27
CUST00186,Jennifer Robertson,Mahebourg,1696.94,2026-06-06
CUST00187,Kimberly Gutierrez,Grand Baie,1203.39,2022-06-29
CUST00188,Peter Garrett,Curepipe,654.24,2025-04-22
CUST00189,Joshua Pennington,Rose Hill,4872.08,2023-09-22
CUST00190,Barbara Dudley,Rose Hill,2922.73,2024-07-25
CUST00191,Christopher Pierce,Curepipe,2329.47,2024-04-14
CUST00192,Willie Durham,Beau Bassin,1320.72,2023-11-03
CUST00193,Ronnie Jimenez,Port Louis,604.76,2025-02-03
CUST00194,Denise Davenport,Tamarin,2615.28,2026-05-23
CUST00195,Juan Reyes,Mahebourg,1187.15,2026-02-07
CUST00196,Sherry Shields,Rose Hill,1806.89,2022-12-05
CUST00197,Jennifer Villa,Tamarin,831.75,2024-01-25
CUST00198,Diane Evans,Rose Hill,1602.67,2024-06-15
CUST00199,Mrs. Brittany Ryan MD,Port Louis,875.31,2024-04-13
